SubjectID	Time	GroupSize	Survivors	Offspring	LaggedUnavailable	OffspringLagged	GroupSizeLagged
1	1	7	6	4	1	NA	NA
1	2	10	8	2	0	4	7
1	3	8	6	1	0	2	10
1	4	5	3	0	0	1	8
1	5	3	3	0	0	0	5
1	6	3	2	2	0	0	3
1	7	4	4	1	0	2	3
1	8	5	3	0	0	1	4
1	9	4	3	1	0	0	5
2	1	6	4	2	1	NA	NA
2	2	5	4	1	0	2	6
2	3	5	4	0	0	1	5
2	4	4	3	0	0	0	5
2	5	3	0	0	0	0	4
3	1	7	6	0	1	NA	NA
3	2	5	4	0	0	0	7
3	3	3	2	0	0	0	5
3	4	3	2	0	0	0	3
3	5	2	2	0	0	0	3
3	6	3	1	0	0	0	2
3	7	2	1	0	0	0	3
3	8	2	1	0	0	0	2
3	9	2	2	0	0	0	2
4	1	6	5	1	1	NA	NA
4	2	6	6	1	0	1	6
4	3	5	2	1	0	1	6
4	4	4	1	1	0	1	5
4	5	3	3	0	0	1	4
4	6	2	1	0	0	0	3
4	7	3	3	0	0	0	2
4	8	2	2	1	0	0	3
4	9	3	2	0	0	1	2
5	1	5	3	1	1	NA	NA
5	2	5	4	1	0	1	5
5	3	5	4	1	0	1	5
5	4	5	4	0	0	1	5
5	5	4	2	0	0	0	5
6	1	6	4	2	1	NA	NA
6	2	6	4	0	0	2	6
6	3	6	5	1	0	0	6
6	4	5	5	0	0	1	6
6	6	2	2	1	1	NA	NA
6	7	4	3	2	0	1	2
6	8	5	4	0	0	2	4
6	9	5	2	0	0	0	5
7	1	4	4	1	1	NA	NA
7	2	5	4	0	0	1	4
7	3	4	4	0	0	0	5
7	4	4	2	0	0	0	4
7	5	3	2	0	0	0	4
7	6	2	1	0	0	0	3
7	7	3	3	1	0	0	2
7	8	4	3	2	0	1	3
7	9	5	3	0	0	2	4
8	1	6	6	1	1	NA	NA
8	2	7	6	0	0	1	6
8	3	6	5	1	0	0	7
8	4	6	4	0	0	1	6
8	5	5	3	0	0	0	6
8	6	4	3	0	0	0	5
8	7	3	1	1	0	0	4
8	8	3	2	3	0	1	3
8	9	5	3	1	0	3	3
9	1	6	5	0	1	NA	NA
9	2	5	5	3	0	0	6
9	3	7	5	1	0	3	5
9	4	5	5	0	0	1	7
9	5	4	4	0	0	0	5
9	6	2	2	1	0	0	4
9	7	4	4	2	0	1	2
9	8	6	1	0	0	2	4
